"Ambit_InchiKey,Original_Entry_ID,Entrez_ID,Activity_Flag,pXC50,DB,Original_Assay_ID,Tax_ID,Gene_Symbol,Ortholog_Group,SMILES"
"ASSJEIIHRYETRS-DLGLGFIGNA-N,CHEMBL133448,43,A,6.37,chembl20,28154,9606,ACHE,30,C=12C(=NC3=C(C1N)CCCC3)N=CC=C2"
"AAHXNWIGTPUBBQ-YHMJCDSINA-N,CHEMBL542018,43,N,4.75,chembl20,28613,9606,ACHE,30,C1=2C(CCC1N)=CC=C(C2)OC(=O)NCC"
"ADCFWPUIUIMSJH-UHFFFAOYNA-N,CHEMBL136719,43,N,4.39,chembl20,29849,9606,ACHE,30,C1(=C([N+](C)(C)C)C=CC=C1OC(=O)C)C"
"BMRFESVZYWRROS-YGPBECBDNA-N,CHEMBL263198,43,A,6.44,chembl20,28154,9606,ACHE,30,C=1(C2=C(CCCC2)N=C3C1CCCC3)N"
"AOWLKNQZYMUMEF-DLGLGFIGNA-N,CHEMBL132260,43,A,6.58,chembl20,307248,9606,ACHE,30,N1=C2C(CCCO2)=C(C=3C1=CC=CC3)N"
"DOROMHNZYQRRMY-UHFFFAOYNA-N,CHEMBL322628,43,N,4.3,chembl20,28936,9606,ACHE,30,C(=O)(SCCC(C)C)OCC[N+](C)(C)C"
"DRIMARCNCZMXHC-UHFFFAOYNA-N,CHEMBL1161719,43,A,5.43,chembl20,307248,9606,ACHE,30,N=1C=2N(CCCCC2)C(=C3C1C=CC=C3)C"
"DRWBHZSJKUMHGN-UHFFFAOYNA-N,CHEMBL154848,43,A,8.28,chembl20,29376,9606,ACHE,30,C1=2C(CC(C1=O)C)=CC(=C(C2)OC)OC"
"GCTYUVIIPGRTHM-UHFFFAOYNA-N,CHEMBL162734,43,A,5.04,chembl20,28155,9606,ACHE,30,N1=C2N(CCCCCC2)CC=3C1=CC=CC3"
"FRIKSJMNMRNNFG-UHFFFAOYNA-N,CHEMBL58194,43,A,6.0,chembl20,28306,9606,ACHE,30,[N+](C1=C(OC)C=CC=C1)(CC=C)(C)C"
"FAFOJSDIPNFWOO-RIYZIHGNNA-N,CHEMBL1952067,43,N,4.05,chembl20,804208,9606,ACHE,30,C1(CN(CCCCC)C(/C=N/O)=NC1)(C)C"
"FGGDEBNQOUZMTE-LMMFKTOUNA-N,CHEMBL1952049,43,N,4.89,chembl20,804208,9606,ACHE,30,N(=C/C(=N/CCCCC)/N(C)C)\O"
"BSESTDRCWOIFNQ-UHFFFAOYNA-N,CHEMBL2018160,43,N,4.3,chembl20,813756,9606,ACHE,30,C1(=CC2=CC=C[N+](=C2C=C1)C)OC"
"HTSFGBRWMBRBLU-UHFFFAOYNA-N,CHEMBL545566,43,N,4.72,chembl20,28618,9606,ACHE,30,C(OC=1C=C2C(CCC2N)=CC1)(N(CC)C)=O"
"GNHSBRDGVQGRIL-UHFFFAOYNA-N,CHEMBL2441688,43,N,4.64,chembl20,990754,9606,ACHE,30,C=1(C=[N+](C(=CC1)OC)C)C(F)(F)F"
"HIQOGHGGZYIFQJ-UHFFFAOYNA-N,CHEMBL156487,43,A,6.42,chembl20,29410,9606,ACHE,30,C12=C(CC(C1=O)C)C=C(C(=C2)OC)O"
"IFZXCQPMQSSVKJ-UHFFFAOYNA-N,CHEMBL152826,43,A,7.6,chembl20,29376,9606,ACHE,30,C=12C(C(C)CC1C=C(C=C2OC)OC)=O"
"IHKBTMWREIJCDJ-UHFFFAOYNA-N,CHEMBL545104,43,N,4.61,chembl20,28463,9606,ACHE,30,C(OC=1C=C2C(CCC2NCC)=CC1)(N(C)C)=O"
"HACXKEPOUOHQGM-HNYORIBMNA-O,CHEMBL61312,43,A,5.52,chembl20,28306,9606,ACHE,30,[N+](C1=CC(O)=CC=C1)(CC=C)(C)C"
"GYSCQDBTSDBCGY-DLGLGFIGNA-N,CHEMBL118752,43,A,7.25,chembl20,633769,9606,ACHE,30,N1=C2C(=C(N)C3=CC=CC=C13)CCC2"
"GYZMRIFSMYWNKG-WYUMXYHSNA-N,CHEMBL181435,43,A,6.7,chembl20,302690,9606,ACHE,30,C(=O)(NCCCC)OCCCCCCCCCCO"
"JHPVZICOKOUZCF-SNVBAGLBNA-N,CHEMBL423352,43,N,2.43,chembl20,29849,9606,ACHE,30,[C@]1(C[N+](C)(C)CCO1)(C(C)(C)C)O"
"JHFVYQMIQHRAQS-UHFFFAOYNA-N,CHEMBL445130,43,A,6.8,chembl20,28155,9606,ACHE,30,N1=C2N(CCCCC2)CC=3C1=CC(=CC3)Cl"
"JOXNFMAXWAPITK-UHFFFAOYNA-N,120166,43,A,5.34486,pubchem,676724,9606,ACHE,30,OC=1C=2N=C3C(=NC2C=CC1)C(O)=CC=C3"
"HNFAREZIVBKEJQ-UHFFFAOYNA-N,CHEMBL1377579,43,N,4.03,chembl20,1338681,9606,ACHE,30,OC=1C=CC(C(N2CCCCC2)C#N)=CC1"
"IPSRZRXARJYFKS-UHFFFAOYNA-N,CHEMBL349977,43,A,5.82,chembl20,28155,9606,ACHE,30,N1=C2N(CCCCC2)CC=3C1=C(Cl)C=CC3"
"LQVXOBJGBMHXPQ-UHFFFAOYNA-N,CHEMBL147524,43,A,6.64,chembl20,28316,9606,ACHE,30,C(OC1=CC(CCN)=CC=C1)(N(C)C)=O"
"LNGSRVIEJNXEND-UHFFFAOYNA-N,CHEMBL101482,43,N,3.0,chembl20,28296,9606,ACHE,30,C(SCC(CC)C)(=O)OCC[N+](C)(C)C"
"KMLJERDDNFAXKC-UHFFFAOYNA-N,CHEMBL544637,43,A,5.97,chembl20,28327,9606,ACHE,30,C(OC=1C=C2C(CCC2NC)=CC1)(N(C)C)=O"
"KIJIBWBXZSOASH-UHFFFAOYNA-N,CHEMBL151369,43,N,4.68,chembl20,28459,9606,ACHE,30,C(OC1=CC(CCNC)=CC=C1)(N(CC)C)=O"
"MNNGVKDERCDSCG-UHFFFAOYNA-N,CHEMBL151387,43,A,5.49,chembl20,28468,9606,ACHE,30,C(OC=1C=C2CC(N)CCC2=CC1)(N(C)C)=O"
"MTCUAOILFDZKCO-UHFFFAOYNA-N,CHEMBL1190,43,A,5.23,chembl20,471590,9606,ACHE,30,[N+](CCCCCCCCCC[N+](C)(C)C)(C)(C)C"
"KUTPSNLZCMOGGE-UHFFFAOYNA-N,CHEMBL538071,43,A,6.34,chembl20,28319,9606,ACHE,30,C(OC1=C2C(CCC2N)=CC=C1)(N(C)C)=O"
"KVGMGGLTJLJDFE-YHSKDTNENA-N,19770285,43,A,8.03012,pubchem,243159,9606,ACHE,30,ClC1=C2C(N)=C3CCCCC3=NC2=CC=C1"
"LHRNGCMLMUPFHM-UHFFFAOYNA-N,CHEMBL157410,43,A,5.36,chembl20,29413,9606,ACHE,30,C1(=CC2=CC=CC=C2C1)CC3CCN(CC3)C"
"NBCQROXLJLVMLS-HNYORIBMNA-O,CHEMBL60596,43,A,5.73,chembl20,28306,9606,ACHE,30,[N+](C=1C(O)=CC=CC1)(CC=C)(C)C"
"MZIWFTSSRZWRER-UHFFFAOYNA-N,CHEMBL545333,43,N,4.41,chembl20,28477,9606,ACHE,30,C(OC=1C=C2C(CCC2NC)=CC1)(N(CC)C)=O"
"OMWVNMMKKOBHLD-UHFFFAOYNA-N,CHEMBL161880,43,A,5.77,chembl20,28155,9606,ACHE,30,N1=C2N(CCCCC2)CC=3C1=CC=CC3Cl"
"OJMROSJFAHVVOD-NTUHNPAUNA-N,CHEMBL1952066,43,N,4.03,chembl20,804208,9606,ACHE,30,C1(CN(CCCC)C(/C=N/O)=NC1)(C)C"
"LWTBLXRZFDITBS-UHFFFAOYNA-N,CHEMBL136294,43,A,5.22,chembl20,29849,9606,ACHE,30,[N+](C1=CC(OC(=O)CC)=CC=C1)(C)(C)C"
"OYIPWVRGEIJJLR-UHFFFAOYNA-N,CHEMBL1161716,43,A,5.77,chembl20,307248,9606,ACHE,30,N=1C=2N(CCCCC2)C(=C3C1C=CC=C3Cl)C"
"OFQCKNPKVTZTFB-UHFFFAOYNA-N,CHEMBL147465,43,N,4.57,chembl20,28163,9606,ACHE,30,[N+]1(=C(N(C)C=C1)C)COCCC#C"
"OEFVRNNHTUIANX-UHFFFAOYNA-N,CHEMBL1922541,43,N,4.36,chembl20,791001,9606,ACHE,30,CP(OC(C(F)(F)F)C(=O)OC)(=O)OCC#C"
"OEUQDGNNEYCCQW-UHFFFAOYNA-N,CHEMBL343344,43,A,5.52,chembl20,29849,9606,ACHE,30,[N+](C1=CC(OC(=O)C)=CC=C1)(C)(C)C"
"MVZMACZJWAYPSH-IRLYEXJDNA-N,CHEMBL1952050,43,N,4.77,chembl20,804208,9606,ACHE,30,N(=C/C(=N/CCC(C)C)/N(C)C)\O"
"MIBILXKDCGXTKZ-UHFFFAOYNA-N,90671400,43,N,,pubchem,1126620,9606,ACHE,30,FC1=CC(C(=O)C=2C=CC(=CC2)C)=CC=C1O"
"PZRHMLTUOQZGFU-UHFFFAOYNA-N,CHEMBL163362,43,A,5.44,chembl20,28155,9606,ACHE,30,N1=C2N(CCCC2)CC=3C1=CC=CC3"
"QUHKAFSPMKOOBV-GAJRPKRDNA-N,CHEMBL133441,43,A,5.2,chembl20,307248,9606,ACHE,30,N=1C2=C(CCCO2)C(=C3C1N=CC=C3)N"
"QZQSLQIZEWMPQS-UHFFFAOYNA-N,CHEMBL555641,43,A,6.12,chembl20,28320,9606,ACHE,30,C(OC=1C=C2C(CCC2N)=CC1)(N(C)C)=O"
"PKCPZJFXQLSLLL-UHFFFAOYNA-N,CHEMBL151194,43,A,5.11,chembl20,28600,9606,ACHE,30,C(OC1=CC(CCN)=CC=C1)(N(CCC)C)=O"
"PJJMKVJLFRGNKC-UHFFFAOYNA-N,CHEMBL423419,43,A,7.44,chembl20,29376,9606,ACHE,30,C12=C(CC(C1=O)C)C(OC)=CC=C2OC"
"QGXVPFVJKVEMKS-UHFFFAOYNA-N,CHEMBL347527,43,A,6.55,chembl20,28313,9606,ACHE,30,C(OC1=CC(CCNC)=CC=C1)(N(C)C)=O"
"RYYVLZVUVIJVGH-UHFFFAOYNA-N,CHEMBL113,43,A,5.14,chembl20,969870,9606,ACHE,30,C12=C(C(=O)N(C(N1C)=O)C)N(C)C=N2"
"QNTWTOFKOMJGGB-MDWZMJQENA-N,CHEMBL1952058,43,N,4.36,chembl20,804208,9606,ACHE,30,C1(=NCCN1CC2=CC=CC=C2)/C=N/O"
"QOMMDBZPNCRWQI-ZCFIWIBFNA-N,CHEMBL344864,43,N,2.42,chembl20,29849,9606,ACHE,30,[C@@]1(C(F)(F)F)(C[N+](C)(C)CCO1)O"
"RRGLXSHXUVBPPY-UHFFFAOYNA-N,CHEMBL155371,43,A,7.7,chembl20,29376,9606,ACHE,30,C12=C(C(=O)C(C1)C)C=CC(=C2OC)OC"
"RVOLLAQWKVFTGE-UHFFFAOYNA-N,7550,43,A,6.4437,pubchem,491761,9606,ACHE,30,O(C=1C=[N+](C=CC1)C)C(=O)N(C)C"
"SWJOXUUDOHBIRE-UHFFFAOYNA-N,CHEMBL151236,43,N,4.45,chembl20,28473,9606,ACHE,30,C(OC1=CC(CCN)=CC=C1)(N(CC)C)=O"
"SQXQVLHHMMAJIL-UHFFFAOYNA-N,CHEMBL165304,43,A,5.42,chembl20,28155,9606,ACHE,30,N1=C2N(CCCCC2)CC=3C1=CC=CC3"
"VXKMGRRBRAIZKF-UHFFFAOYNA-N,CHEMBL347023,43,A,7.09,chembl20,29376,9606,ACHE,30,C1=2C(C(C)CC1=CC=C(C2)OC)=O"
"UCMACRIRPLDMDR-UHFFFAOYNA-N,CHEMBL350916,43,A,7.06,chembl20,29376,9606,ACHE,30,C1=2C(C(C)CC1=CC=C(C2OC)OC)=O"
"VARHXCYGZKSOOO-UHFFFAOYNA-N,CHEMBL456881,43,N,4.08,chembl20,555178,9606,ACHE,30,C=1C=CC=2N=C3N(C(C2C1)=O)CCC3"
"UVENYKVMWZIQOV-UHFFFAOYNA-N,CHEMBL1081448,43,N,2.75,chembl20,616422,9606,ACHE,30,C=1C=CC=C[N+]1COC[N+]=2C=CC=CC2"
"YBPIEJSYOSIOIT-GPQMBLKYNA-N,CHEMBL182696,43,A,6.52,chembl20,302690,9606,ACHE,30,C(=O)(NCCCC)OCCCCCCCCCCCCO"
"WHEBWOWRTSFQQO-UHFFFAOYNA-N,CHEMBL347667,43,A,8.88,chembl20,29376,9606,ACHE,30,C1=2C(CC(C1=O)C)=CC(=C(C2)O)OC"
"XAYGWNIOPNSYHA-UHFFFAOYNA-N,CHEMBL2441689,43,N,4.44,chembl20,990754,9606,ACHE,30,C=1C(=[N+](C(=CC1)OC)C)C(F)(F)F"
"YLJREFDVOIBQDA-YGPBECBDNA-N,CHEMBL95,43,A,8.5,chembl20,762161,9606,ACHE,30,C=1(C2=C(CCCC2)N=C3C1C=CC=C3)N"
"YNIWJICOZIEUOZ-UHFFFAOYNA-N,CHEMBL158174,43,A,8.0,chembl20,29413,9606,ACHE,30,N1(CC2=C(C)C=CC=C2)CCC(CC1)C"
"YQSFVLAYSTUSTE-UHFFFAOYNA-N,CHEMBL166194,43,A,5.9,chembl20,28155,9606,ACHE,30,N12C(C=3C=CC(=CC3N=C1CCCCC2)Cl)=N"
"XWUIDCOCPBPGFY-UHFFFAOYNA-N,CHEMBL609718,43,N,3.2,chembl20,29849,9606,ACHE,30,N(C=1C=C([N+](C)(C)C)C=CC1)(=O)=O"
"XUMVWMVTRVLHEJ-VOTSOKGWNA-N,CHEMBL591470,43,N,4.15,chembl20,613426,9606,ACHE,30,P(=O)(OC)(O/C(=C\1/C(OCC1)=O)/C)OC"
"ZSOHEKFEVDPZKH-UHFFFAOYNA-N,CHEMBL422695,43,A,7.64,chembl20,29376,9606,ACHE,30,C1=2C(CC(C1=O)C)=CC3=C(C2)OCO3"
"ZRJNTMHQIDCDLL-UHFFFAOYNA-N,CHEMBL136870,43,N,3.46,chembl20,29849,9606,ACHE,30,C=1([N+](C)(C)C)C=C(OC)C=CC1C"
"ZPEZHGZYZCQFAI-DLGLGFIGNA-N,CHEMBL436367,43,A,6.34,chembl20,28154,9606,ACHE,30,C=12C(=NC3=C(C1N)CCCC3)OCCC2"
"ZSYBVMLBRRAALN-UHFFFAOYNA-N,CHEMBL165726,43,A,6.3,chembl20,28155,9606,ACHE,30,N1=C2N(CCCCC2)CC=3C1=CC=C(Cl)C3"
"ZFWQAYQYIQQNAX-AHPDCHJINA-N,CHEMBL2425417,43,N,4.14,chembl20,981609,9606,ACHE,30,N1=C(N=C(C(=C1O)C=NC(C)=O)O)O"
"BDRIZQJMKALXBR-YGPBECBDNA-N,CHEMBL132619,43,A,6.82,chembl20,28154,9606,ACHE,30,C12=C(C3=C(C=CC=C3N=C1OCCC2)C)N"
"AYTZATKXALOHAK-OVRQIGRZNA-O,CHEMBL3126011,43,N,3.78,chembl20,1296453,9606,ACHE,30,C1(=[N+](C=CN1CCCC=C)C)/C=N/O"
"APQPVVOYBLOJDY-YHSKDTNENA-N,CHEMBL1256415,43,A,5.68,chembl20,831935,9606,ACHE,30,C1(=CC=2C(C=C1)=NC3=C(C2N)CCCC3)OC"
"AXNHBGUUQZQXLN-UHFFFAOYNA-N,CHEMBL3233993,43,N,4.29,chembl20,1338681,9606,ACHE,30,C(C(N1CCCC1)C=2C=C3C(=CC2)OCO3)#N"
"BXLXHYPSRHQACO-YGPBECBDNA-N,CHEMBL133520,43,A,6.47,chembl20,28154,9606,ACHE,30,C1(=C2C(OCCC2)=NC=3C1=C(F)C=CC3)N"
"BZQNPNRVDLBVLR-UHFFFAOYNA-N,CHEMBL3233997,43,N,3.4,chembl20,1338681,9606,ACHE,30,C(C(N1CCCC1)C2=CC(=C(C=C2)OC)O)#N"
"AGUNHRMMKYCFLG-UHFFFAOYNA-N,CHEMBL103959,43,N,4.3,chembl20,28936,9606,ACHE,30,C(SC=1C=CC(CC)=CC1)(=O)OCC[N+](C)(C)C"
"AIHREYCBCYOMLZ-UHFFFAOYNA-N,CHEMBL148882,43,A,7.52,chembl20,28307,9606,ACHE,30,C(OC1=CC(C(N(C)C)C)=CC=C1)(N(C)C)=O"
"ABKKPNBHJUSEOK-UWIQYYNENA-O,CHEMBL254299,43,N,3.8,chembl20,461524,9606,ACHE,30,C=1C=NC=CC1NC(=O)OCC[N+](C)(C)C"
"BISIFJGUTDFVFR-YGPBECBDNA-N,CHEMBL319451,43,A,6.32,chembl20,27788,9606,ACHE,30,N1=C2C(CCCC2O)=C(C=3C1=CC=CC3)N"
"BJTGKIAXWCJQOU-GIMBQJHYNA-O,CHEMBL137226,43,N,3.0,chembl20,29849,9606,ACHE,30,[N+](C=1C=C(NC(=O)C)C=CC1)(C)(C)C"
"CKKVAQWWMPPXLE-UHFFFAOYNA-N,CHEMBL338492,43,A,5.27,chembl20,29849,9606,ACHE,30,C=1([N+](C)(C)C)C=C(OC(=O)C)C=CC1C"
"CZVATJJPBCSTOP-UHFFFAOYNA-N,CHEMBL136669,43,N,4.16,chembl20,29849,9606,ACHE,30,C=1([N+](C)(C)C)C=C(OC(=O)CC)C=CC1C"
"CTPUWBKCNRPOAY-XWKXFZRBNA-N,CHEMBL402976,43,N,3.5,chembl20,461524,9606,ACHE,30,C1=C(C=CN=C1)NC(=O)OCCN(C)C"
"ANVLUJVUZOJZJH-UHFFFAOYNA-N,CHEMBL158242,43,A,8.2,chembl20,29376,9606,ACHE,30,C1=2C(CC(C1=O)C)=CC(=C(C2)OCC)OCC"
"AMUFQQQYBWMZNN-UYBDAZJANA-N,CHEMBL183394,43,A,6.7,chembl20,302690,9606,ACHE,30,C(=O)(NCCCC)OCCCCCCCCCCCCCCO"
"FXFGIRKFQZPTMA-YHSKDTNENA-N,CHEMBL61533,43,A,7.06,chembl20,633769,9606,ACHE,30,N1=C2C(C=CC(=C2)F)=C(C3=C1CCCC3)N"
"DREAHDLCWZKIJL-YHSKDTNENA-N,44381944,43,A,7.16178,pubchem,31170,9606,ACHE,30,ClC1=C2N=C3C(CCCC3)=C(N)C2=CC=C1"
"DQSFBUPXZJCOJM-NDKGDYFDNA-N,CHEMBL3216205,43,N,3.68,chembl20,461524,9606,ACHE,30,C=1C=NC(=CC1NC(=O)OCCN(C)C)Cl"
"GCTSJRRFEWSVAJ-YHSKDTNENA-N,CHEMBL302842,43,A,6.46,chembl20,633769,9606,ACHE,30,N1=C2C(C=CC(=C2)OC)=C(C3=C1CCCC3)N"
"FQELSXKYURXBIN-UHFFFAOYNA-N,CHEMBL1344483,43,N,4.35,chembl20,1338681,9606,ACHE,30,O(C1=CC(C(N2CCCCC2)C#N)=CC=C1OC)C"
"FBFCEJZVMXVAGL-UHFFFAOYNA-N,CHEMBL156763,43,A,6.32,chembl20,29413,9606,ACHE,30,C1(C(C=2C=CC=CC2C1)=O)CN3CCC(CC3)C"
"DYCBJVAGNLYFKR-UHFFFAOYNA-N,CHEMBL3233998,43,N,3.44,chembl20,1338681,9606,ACHE,30,C(C(N1CCOCC1)C2=CC(=C(C=C2)OC)O)#N"
"FKERSMNGUWCIGY-UHFFFAOYNA-N,CHEMBL450931,43,N,4.81,chembl20,28608,9606,ACHE,30,C(OC1=CC(CCNCC#C)=CC=C1)(N(CCC)C)=O"
"FIDUIAPDSKSUGO-UHFFFAOYNA-N,CHEMBL502689,43,N,2.62,chembl20,508688,9606,ACHE,30,C=1(CC=C(C)C)C(O)=CC=2OC(C=CC2C1)=O"
"BTGQVTBIXAMVNG-UHFFFAOYNA-N,56945539,43,A,5.04576,pubchem,646760,9606,ACHE,30,ClC1=C(CN2CCCN=C2C=NO)C=CC(Cl)=C1"
"BJBNWGJTSVNTFT-UHFFFAOYNA-N,CHEMBL542749,43,N,4.98,chembl20,28609,9606,ACHE,30,C(OC1=C2C(CCC2N)=CC=C1)(N(CC)C)=O"
"HYXHQZASJISSQN-UHFFFAOYNA-N,CHEMBL347503,43,A,6.66,chembl20,28315,9606,ACHE,30,C(OC1=CC(CCNCC#C)=CC=C1)(N(C)C)=O"
"HSSQLNQCMMAAPC-GAJRPKRDNA-N,CHEMBL130373,43,A,7.38,chembl20,28154,9606,ACHE,30,N1=C2C(CCCO2)=C(C3=C1C=NC=C3)N"
"HVCOWYUWVWKCLH-UHFFFAOYNA-N,CHEMBL555919,43,A,5.6,chembl20,28451,9606,ACHE,30,C(OC1=C2C(CCC2NCC#C)=CC=C1)(N(C)C)=O"
"AJSYZGYPCGTQSU-UHFFFAOYNA-N,CHEMBL375077,43,N,4.93,chembl20,424371,9606,ACHE,30,C1(=CC=C2C(=C1)C=3C(=C(N=CC3)C)N2C)OC"
"ALWKGYPQUAPLQC-UHFFFAOYNA-N,CHEMBL54126,43,A,10.37,chembl20,714885,9606,ACHE,30,[N+](C)(C)(C1=CC(OC(N(C)C)=O)=CC=C1)C"
"QVOLLIZMUMRBBN-UHFFFAOYNA-N,CHEMBL59192,43,A,6.0,chembl20,28306,9606,ACHE,30,[N+](C=1C=C(OC(=O)C)C=CC1)(CC=C)(C)C"
"QXKHYNVANLEOEG-UHFFFAOYNA-N,CHEMBL416,43,A,6.12,chembl20,972045,9606,ACHE,30,C1=2C=CC(OC1=C(C3=C(C=CO3)C2)OC)=O"
"WGVAFMNZAGFMCK-UHFFFAOYNA-N,CHEMBL371276,43,N,4.71,chembl20,304873,9606,ACHE,30,C12=C3C(=NC=CC3=CC(=C1OC)OC)C(OC2)=O"
"HLSVSCQFGAPXKJ-UHFFFAOYNA-N,CHEMBL554453,43,A,5.54,chembl20,28447,9606,ACHE,30,C(OC=1C=C2C(CCC2NCC#C)=CC1)(N(C)C)=O"
"GXAOGWQBVDMAMQ-UHFFFAOYNA-N,CHEMBL165292,43,N,4.0,chembl20,307248,9606,ACHE,30,N1=C2N(CCCCC2)C(C3=C1C=C(C=C3)Cl)=O"
